subject_id,file_number,severity,source,notes
02010036,1,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction (--no-vad + --initial-prompt) yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010036,3,exclude,whisper_hallucination,"Whisper produced TV-outro hallucination ""感谢您的收看下期见""; v2 re-extraction produced prompt-echo + Ming Pao boilerplate stack; drop from text-feature analyses (acoustic features OK)"
02010036,4,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010036,5,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,8,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010036,9,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,10,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,11,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded Amara.org credit + partial speech fragment; drop from text-feature analyses (acoustic features OK)
02010036,12,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,13,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded Yang Donglian subtitle credit hallucination; drop from text-feature analyses (acoustic features OK)
02010036,14,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,15,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010036,17,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010036,24,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded incoherent fabrication that passes audit by accident; drop anyway from text-feature analyses (acoustic features OK)
02010036,26,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
02010036,27,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010037,3,exclude,whisper_repetition_loop,"v1 produced empty transcript; v2 re-extraction (--no-vad + --initial-prompt) yielded ""我最近遇到了高兴的事。高兴的事。高兴的事。高兴的事。没事,每天都一样。"" -- partial real speech with Whisper-induced repetition loop (""高兴的事"" x4) that escapes the audit's repetition test by being just below the n-gram count threshold; v2 KEPT on disk for inspection (only file in this CSV with v2 still present); drop from text-feature analyses (acoustic features OK)"
02010037,4,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02010037,17,exclude,whisper_empty,"Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination variant ""中文心理访谈录音""; drop from text-feature analyses (acoustic features OK)"
02010039,3,exclude,whisper_empty,"Whisper produced empty transcript on quiet audio; v2 re-extraction yielded Yang Qianxi subtitle credit hallucination ""中文字幕志愿者 杨茜茜""; drop from text-feature analyses (acoustic features OK)"
02020004,16,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded subscribe-button hallucination; drop from text-feature analyses (acoustic features OK)
02020025,24,exclude,whisper_substitution,"v1 produced ""Jazz,货物,山寨,最早,宗教,树荫,荣辱,商品,题字,谈起"" -- Whisper substituted English ""Jazz"" for what is presumably ""寨子"" (similar onset) at the start of the word-reading-negative list; v3 re-extraction (float32 + higher-T fallback) yielded byte-identical output, confirming the substitution is deterministic for this audio; drop from text-feature analyses (acoustic features OK)"
02030004,10,exclude,whisper_trailing_hallucination,"v1 produced ~150 chars of real interview content (description of a roommate named 李慧元) followed by training-data subtitle-credit hallucination ""字幕志愿者 杨茜茜"" appended at the end; v2 re-extraction (--no-vad + --initial-prompt) replaced the Yang Qianxi credit with Amara/Ming Pao boilerplate; v3 re-extraction (VAD on, float32, no prompt) yielded the same Yang Qianxi credit as v1 -- VAD did NOT suppress it, suggesting the credit is generated within the audio's actual end region not just over silence; drop from text-feature analyses (acoustic features OK)"
02030016,5,exclude,whisper_empty,Whisper produced empty transcript on quiet audio; v2 re-extraction yielded prompt-echo hallucination; drop from text-feature analyses (acoustic features OK)
